  1856         2017
 1976   -0.379   -0.436   -0.488   -0.421   -0.483   -0.478   -0.302   -0.180   -0.188   -0.288   -0.410   -0.426
 1977   -0.384   -0.328   -0.177   -0.212   -0.164   -0.102   -0.100   -0.139   -0.226   -0.218   -0.137   -0.199
 1978   -0.100   -0.141   -0.153   -0.189   -0.198   -0.327   -0.270   -0.221   -0.184   -0.201   -0.113   -0.176
 1979   -0.186   -0.145   -0.222   -0.231   -0.111   -0.035   -0.088   -0.108   -0.103   -0.081   -0.078   -0.053
 1980    0.005   -0.071   -0.132    0.007    0.136    0.116    0.057    0.030   -0.001   -0.054   -0.190   -0.242
 1981   -0.170   -0.169    0.013   -0.083   -0.072   -0.050   -0.082   -0.103   -0.024   -0.175   -0.125    0.006
 1982   -0.069   -0.066   -0.068   -0.170   -0.179   -0.172   -0.216   -0.297   -0.295   -0.359   -0.405   -0.368
 1983   -0.286   -0.091    0.094    0.072   -0.036   -0.042   -0.003   -0.146   -0.203   -0.183   -0.146    0.010
 1984   -0.094   -0.076   -0.112   -0.145   -0.153   -0.312   -0.253   -0.213   -0.196   -0.331   -0.412   -0.305
 1985   -0.342   -0.317   -0.344   -0.388   -0.325   -0.116   -0.141   -0.269   -0.235   -0.233   -0.283   -0.324
 1986   -0.331   -0.263   -0.280   -0.312   -0.216   -0.249   -0.236   -0.260   -0.207   -0.306   -0.385   -0.359
 1987   -0.265   -0.205   -0.020    0.041    0.080    0.215    0.292    0.292    0.206    0.059   -0.058    0.055
 1988   -0.030   -0.104    0.001    0.062    0.148    0.176    0.119    0.001   -0.086   -0.161   -0.138   -0.155
 1989   -0.212   -0.147   -0.244   -0.281   -0.138    0.100    0.186    0.122   -0.086   -0.114   -0.141   -0.144
 1990   -0.290   -0.153   -0.170   -0.108   -0.050   -0.047   -0.013    0.061    0.156    0.122   -0.045   -0.027
 1991   -0.186   -0.108   -0.061   -0.124   -0.145   -0.121   -0.099   -0.101   -0.029   -0.254   -0.253   -0.206
 1992   -0.183   -0.087   -0.085   -0.177   -0.215   -0.143   -0.212   -0.373   -0.362   -0.293   -0.327   -0.277
 1993   -0.233   -0.180   -0.237   -0.166   -0.157   -0.174   -0.270   -0.222   -0.158   -0.236   -0.312   -0.286
 1994   -0.290   -0.302   -0.272   -0.193   -0.200   -0.215   -0.225   -0.229   -0.146   -0.053   -0.013   -0.084
 1995   -0.056   -0.034    0.022    0.082    0.278    0.370    0.320    0.189    0.060    0.108    0.133    0.048
 1996   -0.004   -0.026   -0.052    0.015   -0.059   -0.118   -0.099   -0.003    0.004   -0.139   -0.168   -0.149
 1997   -0.085   -0.030    0.011    0.013    0.046    0.014    0.066    0.021    0.115    0.156    0.057    0.137
 1998    0.136    0.298    0.328    0.297    0.390    0.495    0.493    0.518    0.418    0.388    0.323    0.285
 1999    0.057    0.063    0.075    0.058    0.168    0.186    0.204    0.313    0.191    0.023   -0.043    0.021
 2000   -0.078   -0.032    0.110    0.048    0.111   -0.012    0.078    0.109    0.108   -0.034   -0.047   -0.121
 2001   -0.121   -0.020    0.021   -0.006   -0.003    0.204    0.141    0.184    0.292    0.258    0.162    0.220
 2002    0.188    0.171    0.151    0.033   -0.042   -0.111   -0.059    0.113    0.086    0.118    0.026    0.011
 2003    0.057   -0.006    0.119    0.085    0.157    0.212    0.283    0.422    0.458    0.433    0.230    0.231
 2004    0.217    0.216    0.164    0.115    0.012    0.184    0.234    0.323    0.247    0.249    0.227    0.194
 2005    0.117    0.132    0.291    0.299    0.300    0.333    0.453    0.446    0.425    0.244    0.147    0.223
 2006    0.130    0.082    0.067    0.204    0.315    0.340    0.381    0.408    0.371    0.341    0.296    0.178
 2007    0.178    0.224    0.134    0.166    0.118    0.095    0.136    0.061    0.105    0.165    0.183    0.118
 2008    0.037    0.135    0.165    0.050    0.179    0.263    0.213    0.182    0.205    0.109    0.008    0.026
 2009   -0.052   -0.157   -0.153   -0.124   -0.054    0.128    0.235    0.160    0.064    0.171    0.076    0.089
 2010    0.047    0.184    0.294    0.433    0.467    0.455    0.457    0.532    0.456    0.331    0.243    0.215
 2011    0.151    0.115    0.062    0.099    0.159    0.185    0.099    0.154    0.151    0.070   -0.063   -0.037
 2012   -0.058    0.011    0.033    0.087    0.171    0.307    0.382    0.438    0.455    0.337    0.172    0.148
 2013    0.135    0.123    0.165    0.144    0.108    0.053    0.197    0.201    0.262    0.354    0.135    0.044
 2014   -0.055   -0.035   -0.074   -0.087    0.006    0.069    0.229    0.342    0.317    0.299    0.072    0.066
 2015   -0.001    0.003   -0.122   -0.064    0.052    0.036    0.139    0.185    0.307    0.332    0.194    0.236
 2016    0.238    0.163    0.195    0.184    0.351    0.416    0.439    0.464    0.465    0.387    0.398    0.342
 2017    0.233    0.234    0.175  -99.990  -99.990  -99.990  -99.990  -99.990  -99.990  -99.990  -99.990  -99.990
  -99.99
  AMO unsmoothed from the Kaplan SST V2
  Calculated at NOAA/ESRL/PSD1
  http://www.esrl.noaa.gov/psd/data/timeseries/AMO/
